,Date,news_articles
297,2012-10-31,Digital Notes: Apple Delays Latest iTunes Upgrade
298,2012-11-01,"Apple Shake-Up Could Lead to Design Shift Apple’s Nostalgic Design Style Daily Report: Apple Shake-Up May Lead to Design Shift The Breakfast Meeting: The Marketing Uses of a Hurricane, and Apple’s Aesthetic Battles Today’s Scuttlebot: Apple Rewrite, and Drones in the U.S."
299,2012-11-05,"Apple Sells Three Million New iPads, Including Mini, in One Weekend Apple’s iPad Lineup Gets More Complex"
300,2012-11-08,Product Questions and Threats of Higher Tax Hit Apple Shares Daily Report: Apple Shares Under Pressure
301,2012-11-11,Apple Settles Patent Suit With HTC
302,2012-11-12,"As Apple’s Battle With HTC Ends, Smartphone Patent Fights Continue Daily Report: After Apple-HTC Settlement, Other Patent Fights Linger Apple Maps Find Appalachia in Manhattan"
303,2012-11-13,"Today’s Scuttlebot: Dell’s Apple Ad, and Analyzing Groupon"
304,2012-11-14,Parallel Exits at Microsoft and Apple TimesCast  Media + Tech: Parallels in Departures at Microsoft and Apple
305,2012-11-16,Apple Now Owns the Page Turn
306,2012-11-19,Apple and the Desire for Control
307,2012-11-20,Apple Pear Strudel With Dried Fruit and Almonds Fiona Apple Postpones Tour to Care for Dying Dog
308,2012-11-21,"The Breakfast Meeting: Managing the Petraeus Scandal, and Fiona Apple’s Loyalty to Her Dog"
309,2012-11-27,Apple and Google’s Tax on Developers Apple Fires a Manager Over Its Misfire on Maps
310,2012-12-01,Apple Rolls Out a Cleaner iTunes
311,2012-12-04,Apple Ad Alumni Get Backing From Google Ventures Ex-Trader at Rochdale Is Arrested After $1 Billion Trade in Apple
312,2012-12-06,"In Shift of Jobs, Apple Will Make Some Macs in U.S. Daily Report: Apple to Bring Some Manufacturing to U.S. Does Apple’s Tim Cook Want an Apple Television? T-Mobile Will Sell Apple Devices in 2013"
313,2012-12-07,"Assessing Apple's Grand Statement Apple and Samsung Tangle on Damages and Juror Today’s Scuttlebot: GIF History, and Samsung vs. Apple Why Apple Got a ‘Made in U.S.A.’ Bug"
314,2012-12-10,Sweet Potato and Apple Latkes With Ginger and Sweet Spices Police Commissioner Hits the Street to Help Open an Applebee’s
315,2012-12-13,"While Apple Regroups, Google Offers a Maps App Daily Report: Apple Approves a Google Maps App"
316,2012-12-14,Bookworms and Apples
317,2012-12-18,Samsung Ends Its Push for a European Sales Ban on Some Apple Products
318,2012-12-20,U.S. Office Rejects 2nd Apple Patent
319,2012-12-21,"Revisiting Apple, NBC and Gay Marriage"
320,2012-12-27,Apple’s Statement on Factory Conditions in China
321,2012-12-28,Some Subway Arrival Times Are Now Just an Apple Device Away
322,2012-12-31,Q&A: How to Share an Apple TV
323,2013-04-01,"Apple of Discord in China Pressured by China, Apple Apologizes for Warranty Policies"
324,2013-04-02,"Daily Report: Pressured by China, Apple Apologizes for Warranty Policies"
325,2013-04-15,Today’s Scuttlebot:  Wireless Pain and Apple Paychecks
326,2013-04-16,Public Theater Season to Include ‘Fun Home’ and New Apple Family Series Play Google Emulates Apple in Restricting Apps for Glass Amazon Takes a Nibble Out of Apple iTunes Downloads
327,2013-04-19,"After Apple’s Rise, a Bruising Fall Daily Report: Apple’s Profits Are Strong but Its Shares Are Skidding"
328,2013-04-22,"This Week in Small Business: Apple, Gold and Cupcakes"
329,2013-04-23,"The Check Is in the Mail, From Apple Apple’s Buyback Takes a Bite Out of Its Cash Pile, Temporarily As Profit Slips, Apple Looks to Reward Shareholders Einhorn Supports Apple’s Big Payouts"
330,2013-04-24,Comparing the Valuations Behind Amazon and Apple Shares
331,2013-04-29,Apple and the Debt Market
332,2013-04-30,"To Satisfy Its Investors, Cash-Rich Apple Borrows Money"
333,2013-05-01,Apple’s Debt Market Foray
334,2013-05-02,Apple’s Move Keeps Profit Out of Reach of Taxes
335,2013-05-03,Urban Gardening: An Appleseed With Attitude
336,2013-05-05,Accessories No Longer Tethered to Apple
337,2013-05-06,Daily Report: Apple’s Grip on Accessories Is Slipping Samsung Could Soon Surpass Apple in Handset Profit
338,2013-05-07,"Pleased by Apple’s Move, Einhorn Raises His Bet"
339,2013-05-08,Apple’s Peter Oppenheimer Is Highest Paid Finance Chief
340,2013-05-15,U.S. Now Paints Apple as ‘Ringmaster’ in Its Lawsuit on E-Book Price-Fixing Daily Report: Prosecutors Say Apple Had Greater Role in Fixing E-Book Prices Google Isn’t Afraid of Building for Apple’s Turf
341,2013-05-17,"Apple Fights Back in Antitrust Case Over E-Book Prices Daily Report: Workweek Still Too Long at Apple Supplier, Audit Says Today’s Scuttlebot: Apple’s Tax Plan and Virtual Biology"
342,2013-05-20,"Apple Stores Are Bringing In More Money Per Visitor Than Ever Senate Panel Is Expected to Castigate Apple on Tax Tactics Apple’s Web of Tax Shelters Saved It Billions, Panel Finds Apple’s Tax Avoidance Strategies"
343,2013-05-21,"Apple’s International Structure Apple and Tax Avoidance Live Blog: Apple and Corporate Taxes Daily Report: Apple’s Tax Practices Under Scrutiny Even Before Apple Tax Breaks, Ireland’s Policy Had Its Critics Disarming Senators, Apple Chief Eases Tax Tensions Finding the Economic Roots of Apple’s Taxable Product"
344,2013-05-22,One Response to Apple Tax Strategy May Be to Copy It Daily Report: Apple’s Chief Charms Capitol Hill
345,2013-05-23,Torches and Pitchforks for I.R.S. but Cheers for Apple How Apple Keeps Its Tax Bill Down The Corrosive Effect of Apple’s Tax Avoidance
346,2013-05-24,"Daily Report: An Early Apple Computer for More Than $100,000 How Vintage Apple Computers Used to Sell"
347,2013-05-25,"Vintage Apple-1 Sells for Record $671,400 The C.E.O. Triumphant (at Least at Apple and Chase)"
348,2013-05-29,Has Apple Lost Its Cool? Its Chief Says No Former E.P.A. Administrator Joins Apple
349,2013-06-02,Trial on E-Book Price-Fixing Puts Apple in Spotlight Apple Is Said to Be Pressing for Internet Radio Deals
350,2013-06-03,U.S. Cites Phone Calls in Apple Pricing Case
351,2013-06-04,Daily Report: Apple Cast as ‘Ringmaster’ in E-Book Pricing Case Add Google’s Street View to Apple Maps Calculating Apple’s True U.S. Tax Rate
352,2013-06-05,"In China, an Empire Built by Aping Apple Apple Violates Samsung Patent, U.S. Trade Panel Says Samsung May Have Passed Apple in U.S. — for Now"
353,2013-06-06,Publishers Tell of Disputes With Apple on E-Book Prices
354,2013-06-10,"Apple Enters Net Radio’s Busy Field Highlights From Apple’s Conference Keynote From Apple, an Overhaul for Mobile and the Mac Highlights From Apple’s WWDC"
355,2013-06-11,"Daily Report: In Revamping, Apple Wants to Show It Can Still Innovate"
356,2013-06-12,Love and Hate for Apple’s New Mobile Software Today’s Scuttlebot: Bitcoin Sell-Off and an Apple Star
357,2013-06-14,Apple Negotiator Defends Tactics in E-Book Trial
358,2013-06-17,Apple Releases Some Data on Government Requests Apple Executive Defends Pricing in Case on E-Books
359,2013-06-19,Apple and Netflix Dominate Online Video
360,2013-06-21,"Outcome of E-Book Case Could Hurt Competition, Apple Lawyer Says Daily Report: Apple Says Antitrust Case Challenges Way Most Business Is Done"
361,2013-06-27,Apple Urges Trade Agency to Stop Product Ban
362,2013-07-02,Apple’s Trademark of ‘iWatch’ Fuels Speculation Regulator in France Raids Office of Apple Motorola Ad Seems to Catch the ‘Made in U.S.A.’ Bug From Apple
363,2013-07-05,6 Smartphones to Rival Apple in China
364,2013-07-10,"A Better Google Maps App for Apple and Android Devices Fallout From Apple’s Loss on E-Books Key Excerpts From the Apple E-Books Ruling Three Goddesses, One Golden Apple. Do the Math."
365,2013-07-11,"Daily Report: Apple Ruling Strengthens Amazon’s Powerful Hand Microsoft Overhauls, the Apple Way"
366,2013-07-18,Daily Report: Apple Works With TV Industry on ‘Grand Vision’
367,2013-07-19,Apple Buys 2 Mapping Companies
368,2013-07-20,"From Apple to Nest Labs,  Always a Designer"
369,2013-07-23,Apple Tops Expectations on Strong iPhone Sales
370,2013-07-24,Daily Report: Apple Earnings Beat Expectations Despite Weaker Sales in China
371,2013-07-25,What Are Apple’s ‘Amazing’ New Products?
372,2013-07-29,Longtime Apple Leader Drops Out of Executive Team
373,2013-07-30,Apple Sued by Former Retail Workers for Unpaid Wages
374,2013-07-31,Is Google More Like Microsoft or Apple?
375,2013-08-02,U.S. Proposes Solutions for Apple’s E-Book Price-Fixing
376,2013-08-03,Obama Administration Overturns Ban on Apple Products
377,2013-08-09,Apple Pays Dearly for Price-Fixing Patent Case Has Potential to Give Apple the Upper Hand Daily Report: Patent Case May Give Apple an Advantage ‘Apple Family’ Changes Sister for Final Play
378,2013-08-10,Judge Considers Limits on Apple’s Future E-Book Deals
379,2013-08-13,Icahn Says He Has Large Stake in Apple Today’s Scuttlebot: Larry Ellison on Apple Going Down and Google’s ‘Evil’ Things
380,2013-08-14,Icahn’s Plans for Apple Could Benefit Shareholders
381,2013-08-15,Portrait of the Artist Behind Apple
382,2013-08-21,Taxi Commission Targets Apple-Green Impostor Cabs
383,2013-08-22,"Icahn Tweets Dinner Plans With Apple’s Chief, and Investors Applaud"
384,2013-08-24,"Apple and Microsoft, Then and Now On The Symmetry Between Microsoft And Apple"
385,2013-08-28,Judge Wants Narrow Focus in Apple Price-Fixing Penalty
386,2013-08-30,Apple Expands iPhone Trade-In Program to Its Stores
387,2014-01-09,Apple and Samsung Chiefs to Meet a Mediator Ahead of Next Patent Suit
388,2014-01-13,Daily Report: Apple Makes Its Bid for Bigger Share of Indian Smartphone Market
389,2014-01-14,Secretive Apple Squirms in Gaze of U.S. Monitor
390,2014-01-15,Apple to Refund App Store Purchases Made Without Parental Consent
391,2014-01-16,Apple and Samsung Widen Lead in U.S. Phone Market
392,2014-01-17,A Muted Beginning to Sales of Apple’s iPhone Through China Mobile  Daily Report: Apple’s China Mobile Deal Gets Off to a Weak Start
393,2014-01-21,Apple Wins Temporary Stay on Court Monitor
394,2014-01-22,Apple iPhone Sales Expected to Break Records
395,2014-01-24,Samsung’s Profit Drops as Apple Squeezes Mobile Sales
396,2014-01-27,"Apple’s Earnings, Bernanke’s Farewell"
397,2014-01-28,"As Apple Shares Fall, Icahn Plucks More A Small Window Into Apple, Courtesy of Tim Cook"
398,2014-01-29,Apple Store Update: Is It a Clue That a New Apple TV Is on the Way?
399,2014-01-31,Investors and Customers Yearn for an Apple iThingamajig Apple Executives Met With F.D.A. to Discuss Mobile Medical Applications
400,2014-02-01,Trying to See Apple From a Different Angle
401,2014-02-06,Apple Takes Down a Bitcoin App
402,2014-02-10,I.S.S. Sides With Apple in Battle Against Icahn New York City Comptroller Resists Investor’s Calls for Apple Buyback Icahn Ends Call for Apple Stock Buyback
403,2014-02-11,Court Rejects Apple Appeal in E-Book Case
404,2014-02-12,Apple and Samsung Took All Handset Profits in Fourth Quarter
405,2014-02-13,Apple Says War Zones Don’t Ship Its Supplies
406,2014-02-17,"Apple Compote Apple and Bitter Lettuces Salad Apple, Lime and Chia Smoothie Buckwheat Crêpes With Caramelized Apples Country Bread With Apples"
407,2014-02-21,How Do You Like These Apples?
408,2014-02-24,"For Hints at Apple’s Plans, Read Its Shopping List Daily Report: Apple’s Unsplashy Acquisitions Point to Future Plans"
409,2014-02-25,Apple’s Serious Security Issue: Update Your iPhone or iPad Immediately Apple Issues Fix for Security Problem on Macs
410,2014-03-04,Apple Says Its Chief of Finance Will Retire Apple’s New CarPlay Is Almost a Step in the Right Direction Apple’s Departing Finance Chief Is Goldman’s Newest Director Apple’s CarPlay Captivates the Auto Industry
411,2014-03-05,Daily Report: Chief of Finance at Apple to Retire
412,2014-03-10,"Rolled Oats With Amaranth Seeds, Maple Syrup and Apple Apple Releases First Big Software Update for iOS 7"
413,2014-03-18,"A Conversation With Yukari Kane, Author of ‘Haunted Empire: Apple After Steve Jobs’ Apple to Offer Cheaper iPhone 5C in Several Markets"
414,2014-03-21,Apple After Jobs: Pretty Much the Same as Ever
415,2014-03-25,"In Two Settlements, Money for Apple and Amazon Customers Apple Invites Parents to Review In-App Purchases"
416,2014-03-31,Apple’s War on Samsung Has Google in Crossfire Daily Report: Apple-Samsung Patent Face-Off Has Google in Crossfire Dried Fruit Compote With Fresh Apple and Pear
417,2014-04-02,Apple and Samsung Reprise Patent Fight (With Google a Shadow Presence) Daily Report: Old Rivalry Aired Again in Patent Case Between Apple and Samsung
418,2014-04-04,Apple and Samsung Fight Over Who Was the Follower
419,2014-04-06,Apple’s Deep Pockets: What $159 Billion Could Do
420,2014-04-07,Email From Steve Jobs Hints at How Apple Ticks
421,2014-04-08,Comcast Gives a Nod to a Future Apple Set-Top Box
422,2014-04-09,Readers Respond: How Should Apple Spend Its Billions?
423,2014-04-12,The Apple Chronicles
424,2014-04-15,"Notes of Orange, Apple and Brooklyn"
425,2014-04-16,Samsung Saw Death of Apple’s Jobs as a Time to Attack
426,2014-04-18,"In the Battle for Best Smartphone, Apple Still Beats Samsung"
427,2014-04-21,"An Apple a Day, and Other Myths"
428,2014-04-23,"Apple’s Profit Still Climbs, but Pressure is Growing Apple’s Stock Split: Attracting the Wrong Crowd?"
429,2014-04-24,From an Apple a Day to ‘Energy Balance’ in Cancer Research An iPhone Engineer-Turned-Game Maker Shares His Apple Story
430,2014-04-30,"Apple and Samsung Cite, and Rebut, Internal Memos in Patent Case"
431,2014-05-03,Mixed Verdict in Apple-Samsung Patent Fight
432,2014-05-05,Verdict in Apple-Samsung Patent Trial Apple-Samsung Jury Sticks With Original Total for Damages A Red-Hot Rumor About Apple Falls Apart
433,2014-05-07,Huawei Unveils New Phone to Compete With Apple and Samsung
434,2014-05-08,Apple Publishes Expanded Report on How It Handles Government Data Requests Apple Said to Be in Talks to Buy Rising Music Brand for $3.2 Billion
435,2014-05-09,"Apple’s New Tune An Apple Deal for Beats? The Reaction on the Web In Beats Deal, a New Direction for Apple Apple’s Midlife Crisis"
436,2014-05-10,Apple’s Pursuit of Beats May Foretell a Shift
437,2014-05-16,"Former Executive Sues for Stake in Beats Electronics, Object of Apple’s Desire"
438,2014-05-17,Apple and Google End Patent Fights Yearning for a Bigger (Apple) Smartphone
439,2014-05-28,Apple to Pay $3 Billion to Buy Beats
440,2014-05-29,"Jimmy Iovine, a Master of Beats, Lends Apple a Skilled Ear Times Minute | How Beats Helps Apple Times Minute | How Beats Helps Apple A New Irreverent Spirit at Apple Daily Report: In Buying Beats, Apple Bets on a Founder’s Skilled Ear The Flaws of Apple’s iMessage"
441,2014-05-30,What the Beats Deal Says About Apple: It Loves Tastemakers
442,2014-10-01,"As PayPal Spins Off, Apple Pay Signals New Era at Cash Register Apple’s Special Irish Tax Breaks Daily Report: Apple Pay Promises Big Changes at the Cash Register"
443,2014-10-02,New Apple Tool Checks iPhones for ‘Kill Switch’ Security Psychedelic Threads From the Beatles’ Apple Boutique
444,2014-10-04,Apple’s Irish Luck
445,2014-10-07,"Apple’s iOS 8, After a Buggy Start, Is Adopted More Slowly by Customers"
446,2014-10-09,"Icahn Praises Cook but Urges More Apple Share Buybacks Reforming the Police Dept., Beyond the ‘Bad Apples’ "
447,2014-10-10,Apple Releases Download Numbers for Free U2 Album Apple’s Jony Ive Has Harsh Words for Xiaomi
448,2014-10-12,"The Week Ahead: Apple iPad Upgrades, France’s Budget Review and Wall Street Bank Results"
449,2014-10-14,Will Apple Pay Make Us Broke?
450,2014-10-15,"Apple to Unveil New iPads, as Rivals Gain Ground"
451,2014-10-16,"Apple’s iPad Problem: Does Anyone Really Need an Expensive Tablet? With Tablet Market Maturing, Apple Introduces New iPads"
452,2014-10-17,Renaissance Under the Apple Tree 
453,2014-10-20,IPhone Demand Provides Apple With Record-Breaking Quarter
454,2014-10-21,"As Apple Pay Arrives, Witnessing the Next Step in Money. Maybe. Today in Small Business: Is Apple Pay the Future of Money? Apple Pay: Seamless in Stores, but Quirky Online Apple’s iCloud Storage Service Is Aim of Attack in China"
455,2014-10-22,"Apple Strengthens Pull of Its Orbit With Each Device  An Apple a Day, for 47 Years"
456,2014-10-23,Daily Report: Apple’s Device Integration May Seduce You for Keeps Apple’s Tim Cook Talks of Retail Expansion in China
457,2014-10-27,Apple Pay Is Disabled by Rite Aid and CVS as a Rival Makes Plans Daily Report: CVS and Rite Aid Disable Apple Pay
458,2014-10-28,"Apple Pay Already a Huge Hit, Cook Says Xiaomi’s Hugo Barra Says He Is an Apple Fan, but Not a Copycat"
459,2014-10-29,"Apple Pay Runs Afoul of MCX, a Group With a Rival Product Daily Report: Rival Payments Coalition MCX Moves to Curb Apple Pay"
460,2014-10-30,Apple Pay Rival MCX Open to Other Technology Apple’s Tim Cook Says That He Is ‘Proud to Be Gay’ Apple’s Cook Makes Case for Equal Rights ‘John D. Ducks for Apples’
461,2014-10-31,The Coming Out of Apple’s Tim Cook: ‘This Will Resonate’ Small Businesses Assess Their Apple Pay Options Tim Cook of Apple: Being Gay in Corporate America 
462,2014-11-03,Southwest Airlines Offers Free Streaming of Apple’s Beats Music Service
463,2014-11-04,An Apple-Like Valuation for a Chinese Rival
464,2014-11-05,Apple Issues Bonds in Euros for First Time How Will Apple’s ‘Smart Watch’ Affect the Industry? Malicious Software Campaign Targets Apple Users in China
465,2014-11-09,"Lisa Applebaum, Michael Eskenazi"
466,2014-11-10,Apple Releases Web Tool for iPhone Switchers
467,2014-11-15,Apple Pay Gives Glimpse of Mainstream Appeal for Mobile Payments
468,2014-11-17,Apple Links China’s UnionPay Cards to App Store
469,2014-11-19,"Apple’s Plans for Beats Music Start to Take Shape Beer for Me, Apple Juice for Her"
470,2014-11-20,Apples of His Eye
471,2014-11-21,Apples From Thanksgiving Start to Finish
472,2014-11-22,Settlement in Apple Case Over E-Books Is Approved
473,2014-11-24,"If Apple Will Poach From Fashion, Then Fashion Will Follow Suit"
474,2014-11-26,Vegetarian Thanksgiving: No-Bake Apple Pie
475,2014-12-01,"Star Witness in Apple Lawsuit Is Still Steve Jobs In Apple Lawsuits, Steve Jobs Is Still Major Factor"
476,2014-12-02,"In a Bay Area Courtroom, Lawyers Hit Replay on Apple’s History"
477,2014-12-03,"Jimmy Iovine, of Beats and Apple, Is Named to Live Nation’s Board"
478,2014-12-04,Apple iPod Suit May Lack One Thing: A Plaintiff Letter From Apple's Lawyers to Judge
479,2014-12-05,"At the Home of Kinder Modern’s Lora Appleton, the Living Is Rambunctious Apple iPod Lawsuit Down to One Plaintiff Videotaped Deposition of Steve Jobs Played in Apple iPod Trial Apple iPod Case: Steve Jobs Deposition"
480,2014-12-08,Today in Small Business: Problems With Apple Pay? A Move to Dismiss an Apple iPod Suit
481,2014-12-10,Apple and IBM Introduce First Offerings in Line of Mobile Apps for Business
482,2014-12-16,Dozens More Companies Sign Up for Apple Pay Apple Wins Decade-Old Suit Over iTunes Updates
483,2014-12-20,Health Warning Given Against Caramel Apples
484,2015-01-02,A Day With Apple Pay
485,2015-01-05,"What to Watch For in 2015: Galliano and Gucci, Elections and Apple"
486,2015-01-08,Apple’s Cut From App Sales Reached $4.5 Billion in 2014
487,2015-01-14,Apple and Ericsson Sue Each Other Over Mobile Patents Video Feature: Getting the Most Out of Apple iOS 8
488,2015-01-21,"Apple Acquires Semetric, a Data Analysis Company"
489,2015-01-27,IPhone Sales in China Bolster Apple Earnings
490,2015-01-28,What Happens if Apple Drops Google From Its Browser? Daily Report: IPhone Sales in China Bolster Apple Earnings
491,2015-01-29,"How, and Why, Apple Overtook Microsoft"
492,2015-01-30,Daily Report: How Apple Surpassed Microsoft She’s the Johnny Appleseed of Pickling
493,2015-02-02,Apple to Open Giant Data Center in Arizona
494,2015-02-06,New Data Shows Apple’s Explosive Growth in China
495,2015-02-09,"Apple Grabs 93% of the Handset Industry’s Profit, Report Says"
496,2015-02-10,Apple Building Solar Farm to Power California Operations
497,2015-02-11,"On JetBlue, Passengers Can Use Apple Pay"
498,2015-02-12,"Aiming to Ease App Discovery, Apple Pairs With Pinterest"
499,2015-02-13,Apple Backslides on Work-Hour Limits Gene-Altered Apples Get U.S. Approval 
500,2015-02-18,"Samsung Buys LoopPay, a Competitor to Apple’s Mobile Wallet"
501,2015-02-20,Apple Is Forming an Auto Team
502,2015-02-21,Animated Character Who’s Five Apples Tall
503,2015-02-22,Google and Apple Fight for the Car Dashboard
504,2015-02-23,Daily Report: Automakers Close to Widely Adopting Dashboard Tech From Google and Apple
505,2015-02-24,Google Guns for Apple in Mobile Payments Race
506,2015-02-25,Apple Loses Patent Case to Small Texas Company
507,2015-02-27,Ericsson Again Sues Apple Over Wireless Patents
508,2015-02-28,Apple’s New Job: Selling a Smartwatch to an Uninterested Public
509,2015-06-03,Apple Recalls Beats Pill XL Speakers Apple to Unveil Tool Kit for Watch App Developers    Apple Takes On a Market Full of Streaming Services
510,2015-06-04,"Daily Report: Apple to Announce Developer Tools for Watch, Plus Music Streaming Plan"
511,2015-06-08,"Apple’s Conference, G.M.’s Annual Meeting, and a Trade Vote in Europe Daily Report: All Eyes on Apple Highlights From Apple’s Developers Conference Apple Music Is Unveiled, Along With Operating System Upgrades Video Feature: The Apple Collector"
512,2015-06-09,Apple Announces Streaming Music Service Daily Report: Apple Unveils Music Service and Software Upgrades Apple Music and Labels Investigated in 2 States
513,2015-06-10,Why I’m Breaking Up With the Apple Watch What Apple’s Tim Cook Overlooked in His Defense of Privacy
514,2015-06-11,Affairs of the Wrist: The Apple Watch Comes Between Them Big Apple Barbecue Block Party Offers a Taste of Country
515,2015-06-12,"In New Deals With Apple and Facebook, a Delicate Balance for The Times"
516,2015-06-16,"Monica Lewis, 93, Dies; Her Apple-Pie Appeal Sold Chiquita Bananas"
517,2015-06-17,Apple Music Streaming Service Terms Dismay Indie Record Companies App Smart | Put the Apple Watch to Work Video Feature: Apple Watch Apps That Are Available Now
518,2015-06-19,Adjusting to Apple’s New Photo Software
519,2015-06-21,Taylor Swift Criticism Spurs Apple to Change Royalties Policy
520,2015-06-23,"With a Tap of Taylor Swift’s Fingers, Apple Retreated"
521,2015-06-24,Apple Signs Thousands of Independent Labels in Royalty Deal
522,2015-06-25,"Zane Lowe, the D.J. Scratching Out Beats 1 for Apple Taylor Swift to Stream ‘1989’ Album on Apple Music"
523,2015-06-26,Apple Music and Beats 1 Popcast: Apple Music and Beats 1
524,2015-06-28,"Taylor Swift Scuffle Aside, Apple’s New Music Service Is Expected to Thrive"
525,2015-06-29,"Greece’s Impending Deadline, Apple’s New Music Service and the Jobs Report Daily Report: Apple Can Afford Some Mistakes, Just Not on Products AC/DC Songs Will Be Added to Streaming Services Like Apple Music"
526,2015-06-30,Ruling That Apple Led E-Book Pricing Conspiracy Is Upheld Apple Music Makes Debut With D.J. Carrying the Flag
527,2015-07-01,"Daily Report: Apple Music Goes Boldly Where Others Have Gone Before Apple Music, Spotify and a Guide to Music Streaming Services Apple Music Is Strong on Design, Weak on Social Networking"
528,2015-07-09,"With CarPlay, Apple Looks to Upend Tradition"
529,2015-07-19,Apple Waits as App Developers Study Who’s Buying Its Watch
530,2015-07-20,"Greece’s Debt Payments, Apple Earnings and Credit Suisse Results"
531,2015-07-21,"Apple Profit Up 38%, but iPhone Sales Disappoint Wall Street"
532,2015-07-22,"Daily Report: Apple’s ‘Amazing Quarter’ Isn’t Good Enough for Wall Street In Apple Watch Debut, Signs of a Familiar Path to Success"
533,2015-07-23,Daily Report: Sales of Apple Watch Suggest a Familiar Path to Success
534,2015-07-28,"Review: In ‘Vacation,’ Christina Applegate and Ed Helms Travel to Walley World"
535,2015-08-04,Shiri Appleby and Constance Zimmer on the ‘UnREAL’ Season Finale
536,2015-08-06,"Apple Music Attracts 11 Million Users in Trial Period, Executive Says"
537,2015-08-11,"Nebia, a Shower Head Start-Up, Receives Funding From Timothy Cook of Apple In a Shift, Rite Aid to Accept Apple and Google Mobile Payments"
538,2015-08-16,New Dr. Dre Album Serves as a Test for Apple Music
539,2015-08-20,Overcoming Love Addiction: One Apple Martini at a Time
540,2015-08-24,Apple Stock Reacts After Tim Cook Email Praises China Sales
541,2015-08-28,"Ian Rogers, Apple Music Executive, Is Leaving Company"
542,2015-08-30,Big Apple Circus to Focus on Early Travel in 38th Season
543,2015-09-01,Former Apple Music Executive Ian Rogers Moves to LVMH
544,2015-09-03,"Review: Different Thinking About Steve Jobs, the Man Behind Apple"
545,2015-09-04,"With a Revamped Apple TV, Company Hopes to Camp in Your Home Apple Kuchen for a Sweet Jewish New Year"
546,2015-09-06,"Apple Unveils New Products, and Stephen Colbert Returns to Late Night New Apple TV Is Said to Focus on Games, Challenging Traditional Consoles"
547,2015-09-07,Apple and Other Tech Companies Tangle With U.S. Over Data Access
548,2015-09-08,"Daily Report: It’s All Apple, All Week"
549,2015-09-09,"Daily Report: China Asserts Tech Presence; Apple Shows Off New Products The Future of Touch Beyond Apple Watch Test Driving Apple’s iOS 9 Apple Unveils iPhone 6S, and Breaks Own Taboos With Other Offerings Apple Executives Demonstrate New iPhones Apple’s iPhone Keeps Going Its Own Way Hands-On Experience With Apple’s New Devices"
550,2015-09-10,Apple Plus Hermès: Smartwatch Dream Team or Weird Mash-Up? Daily Report: What Stood Out From Apple’s Product Event An Apple Kind of Week Answers to Questions About Apple’s New Products
551,2015-09-11,A Lull After Apple‘s Event ‘Appleblossom the Possum’ and ‘Firefly Hollow’
552,2015-09-12,Farhad and Mike’s Week in Tech: Android Pay and Apple Products
553,2015-09-13,TV Bundles Challenge Apple to Make a Deal
554,2015-09-14,Apple Says iPhone Pre-Orders Are Beating Last Year’s Pace Burberry Creates a Channel for Apple Music
555,2015-09-16,Apple Delays Release of New Apple Watch Software
556,2015-09-17,Apple and Google Create a Buzz at Frankfurt Motor Show
557,2015-09-19,Enabling of Ad Blocking in Apple’s iOS 9 Prompts Backlash
558,2015-09-21,"Apple Confirms Discovery of Malicious Code in Some App Store Products  Apple Improves the Watch, Slightly  "
559,2015-09-22,"Apple Presses Ahead With Efforts to Create Car, Though Big Issues Remain Siri, Apple Music and Other iPhone Questions"
560,2015-09-23,Find Out What Apple’s New iPhones and iOS Can Do
561,2015-09-28,Apple iPhone 6s Breaks First-Weekend Sales Record
562,2015-09-29,"Tim Cook, Apple’s Chief, Speaks on Civic Duty"
563,2015-09-30,App Smart | Best Apps for Apple Watch A Grab Bag of Software for the Apple Watch Upgrade
564,2015-10-02,Amazon to Stop Selling Apple TV and Chromecast
565,2015-10-06,Like Apple Picking? Try Egg Picking
566,2015-10-08,"Review: ‘Steve Jobs,’ Apple’s Visionary C.E.O. Dissected"
567,2015-10-09,"Using Apple Pay at Starbucks, KFC and Chili’s"
568,2015-10-10,Apple Is Said to Deactivate Its News App in China
569,2015-10-18,"Publishers Straddle the Apple-Google, App-Web Divide"
570,2015-10-19,"At New York Apple Orchards, an Autumn Tradition Strays From Its Core Exploring Apples Downtown, and in the Hudson Valley"
571,2015-10-20,Apple Music Has 6.5 Million Paying Subscribers Apple and WME/IMG Bid to Be the Dream Team of Fashion TV
572,2015-10-26,"Apple Earnings, United States Economic Data and Oil Results The Mysterious Case of Apple and the Elusive Angela Ahrendts Review: Luxury Travel With the Big Apple Circus"
573,2015-10-27,"Daily Report: Apple, Twitter Next Up for Tech Earnings IPhone Demand Drives Apple Profit, but Outlook Is Muted"
574,2015-10-29,How Apple TV Stacks Up: A Rundown of Streaming Devices The New Apple TV Invigorates the Set-Top Box
575,2016-03-01,A Ruling in Apple’s Favor
576,2016-03-03,"Apple Gets Tech Industry Backing in iPhone Dispute, Despite Misgivings Breaking Down Apple’s iPhone Fight With the U.S. Government An Industry Lines Up Behind Apple Apple Is Rolling Up Backers in iPhone Privacy Fight Against F.B.I."
577,2016-03-04,Legal Briefs Flood in to Support Apple
578,2016-03-05,"Rev. Robert Palladino, Scribe Who Shaped Apple’s Fonts, Dies at 83"
579,2016-03-06,"Europe’s Antitrust Enforcer on Google, Apple and the Year Ahead"
